name,light,scene,layer
Snap-7132.czi,1,0,0
Snap-7133.czi,0,0,1
Snap-7134.czi,1,1,0
Snap-7135.czi,0,1,1
Snap-7136.czi,1,2,0
Snap-7137.czi,0,2,1
Snap-7138.czi,1,3,0
Snap-7139.czi,0,3,1
Snap-7140.czi,1,4,0
Snap-7141.czi,0,4,1
Snap-7142.czi,1,5,0
Snap-7143.czi,0,5,1
Snap-7144.czi,1,6,0
Snap-7145.czi,0,6,1
Snap-7146.czi,1,7,0
Snap-7147.czi,0,7,1
Snap-7148.czi,1,8,0
Snap-7149.czi,0,8,1
Snap-7150.czi,1,9,0
Snap-7151.czi,0,9,1
Snap-7152.czi,1,10,0
Snap-7153.czi,0,10,1
Snap-7154.czi,1,11,0
Snap-7155.czi,0,11,1
Snap-7156.czi,1,12,0
Snap-7157.czi,0,12,1
Snap-7158.czi,1,13,0
Snap-7159.czi,0,13,1
Snap-7160.czi,1,14,0
Snap-7161.czi,0,14,1
Snap-7162.czi,1,15,0
Snap-7163.czi,0,15,1
Snap-7164.czi,1,16,0
Snap-7165.czi,0,16,1
Snap-7166.czi,1,17,0
Snap-7167.czi,0,17,1
Snap-7168.czi,1,18,0
Snap-7169.czi,0,18,1
Snap-7170.czi,1,19,0
Snap-7171.czi,0,19,1
Snap-7172.czi,1,20,0
Snap-7173.czi,0,20,1
Snap-7174.czi,1,21,0
Snap-7175.czi,0,21,1
Snap-7176.czi,1,22,0
Snap-7177.czi,0,22,1
Snap-7178.czi,1,23,0
Snap-7179.czi,0,23,1
Snap-7180.czi,1,24,0
Snap-7181.czi,0,24,1
Snap-7182.czi,1,25,0
Snap-7183.czi,0,25,1
Snap-7184.czi,1,26,0
Snap-7185.czi,0,26,1
Snap-7186.czi,1,27,0
Snap-7187.czi,0,27,1
Snap-7188.czi,1,28,0
Snap-7189.czi,0,28,1
Snap-7190.czi,1,29,0
Snap-7191.czi,0,29,1
Snap-7192.czi,1,30,0
Snap-7193.czi,0,30,1
Snap-7194.czi,1,31,0
Snap-7195.czi,0,31,1
