name,light,scene,layer
Snap-7117.czi,0,0,1
Snap-7118.czi,1,0,0
Snap-7119.czi,0,1,1
Snap-7120.czi,1,1,0
Snap-7121.czi,1,2,0
Snap-7122.czi,0,2,1
Snap-7123.czi,1,3,0
Snap-7124.czi,0,3,1
Snap-7125.czi,1,4,0
Snap-7126.czi,0,4,1
Snap-7127.czi,1,5,0
Snap-7128.czi,0,5,1
Snap-7130.czi,1,6,0
Snap-7131.czi,0,6,1
Snap-7196.czi,1,7,0
Snap-7197.czi,0,7,1
Snap-7198.czi,1,8,0
Snap-7199.czi,0,8,1
Snap-7200.czi,1,9,0
Snap-7201.czi,0,9,1
Snap-7202.czi,1,10,0
Snap-7203.czi,0,10,1
Snap-7204.czi,1,11,0
Snap-7205.czi,0,11,1
Snap-7206.czi,1,12,0
Snap-7207.czi,0,12,1
Snap-7208.czi,1,13,0
Snap-7209.czi,0,13,1
Snap-7210.czi,1,14,0
Snap-7211.czi,0,14,1
Snap-7212.czi,1,15,0
Snap-7213.czi,0,15,1
Snap-7214.czi,1,16,0
Snap-7215.czi,0,16,1
Snap-7216.czi,1,17,0
Snap-7217.czi,0,17,1
Snap-7218.czi,1,18,0
Snap-7219.czi,0,18,1
Snap-7220.czi,1,19,0
Snap-7221.czi,0,19,1
Snap-7222.czi,1,20,0
Snap-7223.czi,0,20,1
Snap-7224.czi,1,21,0
Snap-7225.czi,0,21,1
Snap-7226.czi,1,22,0
Snap-7227.czi,0,22,1
Snap-7228.czi,1,23,0
Snap-7229.czi,0,23,1
Snap-7230.czi,1,24,0
Snap-7231.czi,0,24,1
