name,light,scene,layer
Snap-7024.czi,1,0,0
Snap-7025.czi,0,0,1
Snap-7026.czi,1,1,0
Snap-7027.czi,0,1,1
Snap-7028.czi,1,2,0
Snap-7029.czi,0,2,1
Snap-7030.czi,1,3,0
Snap-7031.czi,0,3,1
Snap-7032.czi,1,4,0
Snap-7033.czi,0,4,1
Snap-7034.czi,1,5,0
Snap-7035.czi,0,5,1
Snap-7036.czi,1,6,0
Snap-7037.czi,0,6,1
Snap-7038.czi,1,7,0
Snap-7039.czi,0,7,1
Snap-7040.czi,1,8,0
Snap-7041.czi,0,8,1
Snap-7042.czi,1,9,0
Snap-7043.czi,0,9,1
Snap-7044.czi,1,10,0
Snap-7045.czi,0,10,1
Snap-7046.czi,1,11,0
Snap-7047.czi,0,11,1
Snap-7048.czi,0,12,1
Snap-7049.czi,1,12,0
Snap-7050.czi,1,13,0
Snap-7051.czi,0,13,1
Snap-7052.czi,1,14,0
Snap-7053.czi,0,14,1
Snap-7054.czi,1,15,0
Snap-7055.czi,0,15,1
Snap-7056.czi,1,16,0
Snap-7057.czi,0,16,1
Snap-7058.czi,1,17,0
Snap-7059.czi,0,17,1
Snap-7060.czi,1,18,0
Snap-7061.czi,0,18,1
Snap-7062.czi,1,19,0
Snap-7063.czi,0,19,1
Snap-7064.czi,1,20,0
Snap-7065.czi,0,20,1
Snap-7066.czi,1,21,0
Snap-7067.czi,0,21,1
Snap-7068.czi,1,22,0
Snap-7069.czi,0,22,1
Snap-7070.czi,1,23,0
Snap-7071.czi,0,23,1
Snap-7072.czi,1,24,0
Snap-7073.czi,0,24,1
Snap-7074.czi,1,25,0
Snap-7075.czi,0,25,1
Snap-7076.czi,1,26,0
Snap-7077.czi,0,26,1
Snap-7078.czi,1,27,0
Snap-7079.czi,0,27,1
Snap-7080.czi,1,28,0
Snap-7081.czi,0,28,1
Snap-7082.czi,1,29,0
Snap-7083.czi,0,29,1
Snap-7084.czi,1,30,0
Snap-7085.czi,0,30,1
Snap-7086.czi,1,31,0
Snap-7087.czi,0,31,1
Snap-7088.czi,1,32,0
Snap-7089.czi,0,32,1
Snap-7090.czi,1,33,0
Snap-7091.czi,0,33,1
Snap-7092.czi,1,34,0
Snap-7093.czi,0,34,1
Snap-7094.czi,1,35,0
Snap-7095.czi,0,35,1
Snap-7096.czi,1,36,0
Snap-7097.czi,0,36,1
Snap-7098.czi,1,37,0
Snap-7099.czi,0,37,1
Snap-7100.czi,1,38,0
Snap-7101.czi,0,38,1
Snap-7103.czi,1,39,0
Snap-7104.czi,0,39,1
Snap-7105.czi,1,40,0
Snap-7106.czi,0,40,1
Snap-7107.czi,1,41,0
Snap-7108.czi,0,41,1
Snap-7109.czi,1,42,0
Snap-7110.czi,0,42,1
Snap-7111.czi,1,43,0
Snap-7112.czi,0,43,1
Snap-7113.czi,1,44,0
Snap-7114.czi,0,44,1
Snap-7115.czi,1,45,0
Snap-7116.czi,0,45,1
