name,light,scene,environment
Snap-6962.czi,0,0,Acetate_DAY1
Snap-6963.czi,1,0,Acetate_DAY1
Snap-6964.czi,0,1,Acetate_DAY1
Snap-6965.czi,1,1,Acetate_DAY1
Snap-6966.czi,0,2,Acetate_DAY1
Snap-6967.czi,1,2,Acetate_DAY1
Snap-6968.czi,0,3,Acetate_DAY1
Snap-6969.czi,1,3,Acetate_DAY1
Snap-6970.czi,0,4,Acetate_DAY1
Snap-6971.czi,1,4,Acetate_DAY1
Snap-6972.czi,0,5,Acetate_DAY1
Snap-6973.czi,1,5,Acetate_DAY1
Snap-6974.czi,0,6,Acetate_DAY1
Snap-6975.czi,1,6,Acetate_DAY1
Snap-6976.czi,0,7,Acetate_DAY1
Snap-6977.czi,1,7,Acetate_DAY1
Snap-6978.czi,0,8,Acetate_DAY1
Snap-6979.czi,1,8,Acetate_DAY1
Snap-6980.czi,0,9,Acetate_DAY1
Snap-6981.czi,1,9,Acetate_DAY1
Snap-6982.czi,0,10,Acetate_DAY1
Snap-6983.czi,1,10,Acetate_DAY1
Snap-6984.czi,0,11,Acetate_DAY1
Snap-6985.czi,1,11,Acetate_DAY1
Snap-6986.czi,0,12,Acetate_DAY1
Snap-6987.czi,1,12,Acetate_DAY1
Snap-6988.czi,0,13,Acetate_DAY1
Snap-6989.czi,1,13,Acetate_DAY1
Snap-6990.czi,0,14,Acetate_DAY1
Snap-6991.czi,1,14,Acetate_DAY1
Snap-6992.czi,0,15,Acetate_DAY1
Snap-6993.czi,1,15,Acetate_DAY1
Snap-6994.czi,0,16,Acetate_DAY1
Snap-6995.czi,1,16,Acetate_DAY1
Snap-6996.czi,0,17,Acetate_DAY1
Snap-6997.czi,1,17,Acetate_DAY1
Snap-6998.czi,0,18,Acetate_DAY1
Snap-6999.czi,1,18,Acetate_DAY1
Snap-7000.czi,0,19,Acetate_DAY1
Snap-7001.czi,1,19,Acetate_DAY1
Snap-7002.czi,0,20,Acetate_DAY1
Snap-7003.czi,1,20,Acetate_DAY1
Snap-7004.czi,0,21,Acetate_DAY1
Snap-7005.czi,1,21,Acetate_DAY1
Snap-7006.czi,0,22,Acetate_DAY1
Snap-7007.czi,1,22,Acetate_DAY1
Snap-7008.czi,0,23,Acetate_DAY1
Snap-7009.czi,1,23,Acetate_DAY1
Snap-7010.czi,0,24,Acetate_DAY1
Snap-7011.czi,1,24,Acetate_DAY1
Snap-7012.czi,0,25,Acetate_DAY1
Snap-7013.czi,1,25,Acetate_DAY1
Snap-7014.czi,0,26,Acetate_DAY1
Snap-7015.czi,1,26,Acetate_DAY1
Snap-7132.czi,1,27,Acetate_DAY3
Snap-7133.czi,0,27,Acetate_DAY3
Snap-7134.czi,1,28,Acetate_DAY3
Snap-7135.czi,0,28,Acetate_DAY3
Snap-7136.czi,1,29,Acetate_DAY3
Snap-7137.czi,0,29,Acetate_DAY3
Snap-7138.czi,1,30,Acetate_DAY3
Snap-7139.czi,0,30,Acetate_DAY3
Snap-7140.czi,1,31,Acetate_DAY3
Snap-7141.czi,0,31,Acetate_DAY3
Snap-7142.czi,1,32,Acetate_DAY3
Snap-7143.czi,0,32,Acetate_DAY3
Snap-7144.czi,1,33,Acetate_DAY3
Snap-7145.czi,0,33,Acetate_DAY3
Snap-7146.czi,1,34,Acetate_DAY3
Snap-7147.czi,0,34,Acetate_DAY3
Snap-7148.czi,1,35,Acetate_DAY3
Snap-7149.czi,0,35,Acetate_DAY3
Snap-7150.czi,1,36,Acetate_DAY3
Snap-7151.czi,0,36,Acetate_DAY3
Snap-7152.czi,1,37,Acetate_DAY3
Snap-7153.czi,0,37,Acetate_DAY3
Snap-7154.czi,1,38,Acetate_DAY3
Snap-7155.czi,0,38,Acetate_DAY3
Snap-7156.czi,1,39,Acetate_DAY3
Snap-7157.czi,0,39,Acetate_DAY3
Snap-7158.czi,1,40,Acetate_DAY3
Snap-7159.czi,0,40,Acetate_DAY3
Snap-7160.czi,1,41,Acetate_DAY3
Snap-7161.czi,0,41,Acetate_DAY3
Snap-7162.czi,1,42,Acetate_DAY3
Snap-7163.czi,0,42,Acetate_DAY3
Snap-7164.czi,1,43,Acetate_DAY3
Snap-7165.czi,0,43,Acetate_DAY3
Snap-7166.czi,1,44,Acetate_DAY3
Snap-7167.czi,0,44,Acetate_DAY3
Snap-7168.czi,1,45,Acetate_DAY3
Snap-7169.czi,0,45,Acetate_DAY3
Snap-7170.czi,1,46,Acetate_DAY3
Snap-7171.czi,0,46,Acetate_DAY3
Snap-7172.czi,1,47,Acetate_DAY3
Snap-7173.czi,0,47,Acetate_DAY3
Snap-7174.czi,1,48,Acetate_DAY3
Snap-7175.czi,0,48,Acetate_DAY3
Snap-7176.czi,1,49,Acetate_DAY3
Snap-7177.czi,0,49,Acetate_DAY3
Snap-7178.czi,1,50,Acetate_DAY3
Snap-7179.czi,0,50,Acetate_DAY3
Snap-7180.czi,1,51,Acetate_DAY3
Snap-7181.czi,0,51,Acetate_DAY3
Snap-7182.czi,1,52,Acetate_DAY3
Snap-7183.czi,0,52,Acetate_DAY3
Snap-7184.czi,1,53,Acetate_DAY3
Snap-7185.czi,0,53,Acetate_DAY3
Snap-7186.czi,1,54,Acetate_DAY3
Snap-7187.czi,0,54,Acetate_DAY3
Snap-7188.czi,1,55,Acetate_DAY3
Snap-7189.czi,0,55,Acetate_DAY3
Snap-7190.czi,1,56,Acetate_DAY3
Snap-7191.czi,0,56,Acetate_DAY3
Snap-7192.czi,1,57,Acetate_DAY3
Snap-7193.czi,0,57,Acetate_DAY3
Snap-7194.czi,1,58,Acetate_DAY3
Snap-7195.czi,0,58,Acetate_DAY3
Snap-6899.czi,0,59,SD_DAY1
Snap-6900.czi,1,59,SD_DAY1
Snap-6901.czi,0,60,SD_DAY1
Snap-6902.czi,1,60,SD_DAY1
Snap-6903.czi,0,61,SD_DAY1
Snap-6904.czi,1,61,SD_DAY1
Snap-6905.czi,0,62,SD_DAY1
Snap-6906.czi,1,62,SD_DAY1
Snap-6907.czi,0,63,SD_DAY1
Snap-6908.czi,1,63,SD_DAY1
Snap-6909.czi,0,64,SD_DAY1
Snap-6910.czi,1,64,SD_DAY1
Snap-6911.czi,0,65,SD_DAY1
Snap-6912.czi,1,65,SD_DAY1
Snap-6913.czi,0,66,SD_DAY1
Snap-6914.czi,1,66,SD_DAY1
Snap-6915.czi,0,67,SD_DAY1
Snap-6916.czi,1,67,SD_DAY1
Snap-6917.czi,0,68,SD_DAY1
Snap-6918.czi,1,68,SD_DAY1
Snap-6919.czi,0,69,SD_DAY1
Snap-6920.czi,1,69,SD_DAY1
Snap-6921.czi,0,70,SD_DAY1
Snap-6922.czi,1,70,SD_DAY1
Snap-6923.czi,0,71,SD_DAY1
Snap-6924.czi,1,71,SD_DAY1
Snap-6925.czi,0,72,SD_DAY1
Snap-6926.czi,1,72,SD_DAY1
Snap-6927.czi,0,73,SD_DAY1
Snap-6928.czi,1,73,SD_DAY1
Snap-6929.czi,0,74,SD_DAY1
Snap-6930.czi,1,74,SD_DAY1
Snap-6931.czi,0,75,SD_DAY1
Snap-6932.czi,1,75,SD_DAY1
Snap-6933.czi,0,76,SD_DAY1
Snap-6934.czi,1,76,SD_DAY1
Snap-6935.czi,0,77,SD_DAY1
Snap-6936.czi,1,77,SD_DAY1
Snap-6937.czi,0,78,SD_DAY1
Snap-6938.czi,1,78,SD_DAY1
Snap-6939.czi,0,79,SD_DAY1
Snap-6940.czi,1,79,SD_DAY1
Snap-6941.czi,0,80,SD_DAY1
Snap-6942.czi,1,80,SD_DAY1
Snap-6943.czi,0,81,SD_DAY1
Snap-6944.czi,1,81,SD_DAY1
Snap-6945.czi,0,82,SD_DAY1
Snap-6946.czi,1,82,SD_DAY1
Snap-6947.czi,0,83,SD_DAY1
Snap-6948.czi,1,83,SD_DAY1
Snap-6949.czi,0,84,SD_DAY1
